Source Name,Mention Count,,
wnd.com,3,,
kxly.com,3,,
ibn-tv.com,3,,
kclu.org,3,,
huffingtonpost.co.za,3,,
newzy.net,3,,
wbt.com,3,,
kspr.com,3,,
telesurtv.net,3,,
ksat.com,3,,
clickondetroit.com,3,,
roadsafety.co.za,3,,
kmuw.org,3,,
quadrangleonline.com,3,,
santamariatimes.com,3,,
myhighplains.com,3,,
newsbug.info,3,,
fourstateshomepage.com,3,,
wqcs.org,3,,
mineweb.com,3,,
gawker.com,3,,
lemauricien.com,3,,
wsfx.com,3,,
kacu.org,3,,
aftonbladet.se,3,,
clickorlando.com,3,,
shzxgov.com,3,,
kwbu.org,3,,
wakeywakeynews.com,3,,
wshu.org,3,,
southerntimesafrica.com,3,,
localsyr.com,3,,
ualrpublicradio.org,3,,
greatindaba.com,3,,
steelerslounge.com,3,,
wgal.com,3,,
mtn.co.kr,3,,
capeandislands.org,3,,
thejakartapost.com,3,,
wjsu.org,3,,
southcarolinapublicradio.org,3,,
freerepublic.com,3,,
leavenworthtimes.com,3,,
wvxu.org,3,,
theet.com,3,,
expatica.com,3,,
huffingtonpost.com,3,,
wboi.org,3,,
hindustantimes.com,3,,
beloitdailynews.com,3,,
mytwintiers.com,3,,
delmarvapublicradio.net,3,,
marketwatch.com,3,,
kmbc.com,3,,
icilome.com,3,,
wyff4.com,3,,
southeastasiapost.com,3,,
vnexpress.net,3,,
wlwt.com,3,,
ozarksfirst.com,3,,
westernslopenow.com,3,,
ktep.org,3,,
africatimes.com,3,,
stjoechannel.com,3,,
newsfromafrica.org,3,,
bellanaija.com,3,,
theeagle.com,3,,
noticiasaominuto.com,3,,
nation.com.pk,3,,
terra.com.co,3,,
kalw.org,3,,
eldinamo.cl,3,,
beritasatu.com,3,,
gdnonline.com,3,,
wprl.org,3,,
ukzambians.co.uk,3,,
hawaiipublicradio.org,3,,
ijpr.org,3,,
wcyb.com,3,,
centralillinoisproud.com,3,,
lycos.com,3,,
themonitor.com,3,,
wncw.org,3,,
nbcmontana.com,3,,
peoriapublicradio.org,3,,
tass.ru,3,,
nasdaq.com,3,,
keyt.com,3,,
local10.com,3,,
bourse.lefigaro.fr,3,,
wtae.com,3,,
heraldlive.co.za,3,,
kait8.com,3,,
wjcl.com,3,,
interlochenpublicradio.org,3,,
expressnews.com,3,,
kios.org,3,,
telegraphtimes.com,3,,
somalilandpress.com,3,,
stuttgartdailyleader.com,3,,
publicradiotulsa.org,3,,
nwpr.org,3,,
goerie.com,3,,
counterpunch.org,3,,
kccu.org,3,,
republika.co.id,3,,
stockandland.com.au,3,,
alufuqnews.com,3,,
krcc.org,3,,
journalstar.com,3,,
hillaac.net,3,,
wcvb.com,3,,
wbaa.org,3,,
