Country Name,ISO Code,Confidence Level,Press Type,Mean,Standard Deviation,Number of Articles
United Republic of Tanzania,TZA,0,Western,-4.167660441994667,4.337807375381691,135
United Republic of Tanzania,TZA,0,Local,0.32371163806494546,4.312492068263035,2227
United Republic of Tanzania,TZA,30,Chinese,2.7140489940104313,2.653314871912858,606
United Republic of Tanzania,TZA,30,Western,-4.154757884802756,4.133587442406159,77
United Republic of Tanzania,TZA,30,Local,0.3858285997488771,4.243858944144829,1041
United Republic of Tanzania,TZA,50,Chinese,2.7341722996020996,2.752916032744471,457
United Republic of Tanzania,TZA,50,Western,-3.6111974828555935,4.055200478389716,61
United Republic of Tanzania,TZA,50,Local,0.28046123094936,4.312346990306537,752
United Republic of Tanzania,TZA,70,Chinese,2.547954181998463,2.8428314783453756,236
United Republic of Tanzania,TZA,70,Western,-3.0145785212516785,4.153590236913378,45
United Republic of Tanzania,TZA,70,Local,0.05767234514702808,4.3758256391501344,455
United Republic of Tanzania,TZA,100,Chinese,2.4082095083529063,3.0876678455359845,137
United Republic of Tanzania,TZA,100,Western,-4.286093072457747,3.6993392230205733,22
United Republic of Tanzania,TZA,100,Local,-0.7381370012627707,3.9258690525546305,225
Uganda,UGA,0,Chinese,1.8594391257114395,2.7358037062800413,1261
Uganda,UGA,0,Western,-1.2343379293554393,4.163112587836024,199
Uganda,UGA,0,Local,-0.17058035889953135,3.340709684992585,2353
Uganda,UGA,30,Chinese,1.9012197296375626,2.6733356319684294,577
Uganda,UGA,30,Western,-2.175080716992036,4.430852248830466,78
Uganda,UGA,30,Local,-0.234133069261032,3.295621684699558,1020
Uganda,UGA,50,Chinese,1.810813267570719,2.633167959504738,393
Uganda,UGA,50,Western,-2.3818569761514663,4.849499941800945,50
Uganda,UGA,50,Local,-0.07095634143465004,3.2021341946907174,657
Uganda,UGA,70,Chinese,1.6005757056897687,2.7929885662963416,248
Uganda,UGA,70,Western,-3.4854695700830027,3.659815359969159,31
Uganda,UGA,70,Local,-0.19193901101905833,3.0724317365053824,378
Uganda,UGA,100,Chinese,1.3980540668964385,2.7508228378201744,125
Uganda,UGA,100,Western,-4.132485547486474,4.038488675907169,17
Uganda,UGA,100,Local,-0.32875675413853084,2.9406895649545275,195
Zimbabwe,ZWE,0,Chinese,2.6087140279192247,3.3124512948280134,1983
Zimbabwe,ZWE,0,Western,-2.103476028405514,2.93536146458284,485
Zimbabwe,ZWE,0,Local,0.1905080720945466,3.2564454859892358,7853
Zimbabwe,ZWE,30,Chinese,2.5137359456600823,3.2516410389588826,1183
Zimbabwe,ZWE,30,Western,-1.8885277490621495,3.178596769277017,211
Zimbabwe,ZWE,30,Local,0.3846048889760429,3.231244448650156,3667
Zimbabwe,ZWE,50,Chinese,2.6094501275361504,3.3741675369626187,843
Zimbabwe,ZWE,50,Western,-2.3798003129420744,2.9845925494418832,155
Zimbabwe,ZWE,50,Local,0.4000172579377375,3.1776783043522197,2548
Zimbabwe,ZWE,70,Chinese,2.7892078579891297,3.28456010372918,567
Zimbabwe,ZWE,70,Western,-2.524579838075136,3.0024286417316373,95
Zimbabwe,ZWE,70,Local,0.40685958897942154,3.1930387423777216,1522
Zimbabwe,ZWE,100,Chinese,2.5076478448360278,3.020841040407866,338
Zimbabwe,ZWE,100,Western,-2.5491744603799735,2.6986560111499616,46
Zimbabwe,ZWE,100,Local,0.46225251380981197,3.1117315467939184,808
Zambia,ZMB,0,Chinese,2.093986580467484,3.564851439253645,1284
Zambia,ZMB,0,Western,-2.873981436980622,2.74933942908043,112
Zambia,ZMB,0,Local,1.1217999229890077,3.375884831373539,2582
Zambia,ZMB,30,Chinese,2.014309650113345,3.513849074520535,622
Zambia,ZMB,30,Western,-2.6492863465100527,3.0303862423084573,40
Zambia,ZMB,30,Local,1.060871349351228,3.468064375987059,1018
Zambia,ZMB,50,Chinese,1.9837166898036271,3.4390359980392895,445
Zambia,ZMB,50,Western,-2.776925263660295,3.4696831275761895,21
Zambia,ZMB,50,Local,1.2883277032760125,3.2868368757349526,632
Zambia,ZMB,70,Chinese,1.9096012456241505,3.4420565751018333,258
Zambia,ZMB,70,Western,-4.944325071242121,2.828396877162302,9
Zambia,ZMB,70,Local,1.3897507468990933,3.006041853059313,302
Zambia,ZMB,100,Chinese,1.6241057476511709,3.0984160806059204,162
Zambia,ZMB,100,Western,-6.038957913716634,1.4057913853111077,6
Zambia,ZMB,100,Local,1.5977462390155504,3.1943757500126884,132
Angola,AGO,0,Chinese,1.8474933881551474,4.130834114742027,733
Angola,AGO,0,Western,-4.5015685861393555,2.9173596791625327,177
Angola,AGO,0,Local,1.5259325689442478,2.689957801459076,1755
Angola,AGO,30,Chinese,0.9872845790021307,4.443212994494955,361
Angola,AGO,30,Western,-3.6732367743284273,3.164092128482422,78
Angola,AGO,30,Local,1.5466940190273968,2.7115120892991977,979
Angola,AGO,50,Chinese,0.9644694886110128,4.393129938601818,263
Angola,AGO,50,Western,-3.5854030506064496,2.936990833710426,48
Angola,AGO,50,Local,1.5129369285621845,2.7199224097350454,774
Angola,AGO,70,Chinese,0.9423534887652081,4.061200241425151,166
Angola,AGO,70,Western,-3.602017287052039,2.559731249316847,33
Angola,AGO,70,Local,1.5528341413077342,2.7125696290373105,587
Angola,AGO,100,Chinese,0.5643218580456008,4.52391542140213,105
Angola,AGO,100,Western,-4.25198672413826,2.5000853745088367,20
Angola,AGO,100,Local,1.5341348479350292,2.8883421433039125,344
Benin,BEN,0,Chinese,3.4168913069662157,3.2763644852730787,182
Benin,BEN,0,Western,-1.4789473190903664,1.7229656777576798,24
Benin,BEN,0,Local,0.8137044953921485,2.4744067237393805,126
Benin,BEN,30,Chinese,3.5421589016914368,3.420322969052013,108
Benin,BEN,30,Western,-2.3563259840011597,1.4879602331333543,10
Benin,BEN,30,Local,0.7778426991995945,2.5902893525952204,93
Benin,BEN,50,Chinese,3.4497246884587986,3.0173372200785376,67
Benin,BEN,50,Western,-1.8826527330610487,0.46515053415319907,9
Benin,BEN,50,Local,0.6659753180362962,2.602588204628346,88
Benin,BEN,70,Chinese,3.2519868916156245,3.321547809788779,51
Benin,BEN,70,Western,-1.8826527330610487,0.46515053415319907,9
Benin,BEN,70,Local,0.5276244028312403,2.562663670916614,82
Benin,BEN,100,Chinese,2.537519223988056,3.12715626382553,32
Benin,BEN,100,Western,,,0
Benin,BEN,100,Local,0.6739242830446788,1.8025513128062998,70
Cameroon,CMR,0,Chinese,2.321386835206363,3.672624376557263,354
Cameroon,CMR,0,Western,-1.4785624908846478,2.6325603491083265,43
Cameroon,CMR,0,Local,0.49063704993362894,2.990343711887345,2467
Cameroon,CMR,30,Chinese,2.6539957624546346,3.665979068392843,187
Cameroon,CMR,30,Western,-0.23927351501252916,2.765265735808748,18
Cameroon,CMR,30,Local,0.26090588113022545,2.890582237505507,1446
Cameroon,CMR,50,Chinese,3.0045169608966087,3.274238182319892,131
Cameroon,CMR,50,Western,-0.23927351501252916,2.765265735808748,18
Cameroon,CMR,50,Local,0.19758105585528762,2.821413569658961,1209
Cameroon,CMR,70,Chinese,3.3401223823599433,2.765932095642088,87
Cameroon,CMR,70,Western,0.12427500486373902,3.410573955777837,10
Cameroon,CMR,70,Local,0.07560646296512868,2.7335668821377386,957
Cameroon,CMR,100,Chinese,3.5989491074387705,2.768470241803152,67
Cameroon,CMR,100,Western,3.623737335205078,3.4462527194455643,3
Cameroon,CMR,100,Local,-0.12674056179525364,2.5796767372548604,629
Central African Republic,CAF,0,Chinese,-0.37903446359660037,4.589964292563373,93
Central African Republic,CAF,0,Western,-1.2803062424063683,1.4151479442472878,12
Central African Republic,CAF,0,Local,-0.4060637379108473,2.3180060931228614,43
Central African Republic,CAF,30,Chinese,1.256029470878489,3.3811383186808124,34
Central African Republic,CAF,30,Western,-1.490119321005685,1.7215406715989878,7
Central African Republic,CAF,30,Local,-0.19732673790143884,2.6184717853117268,23
Central African Republic,CAF,50,Chinese,1.3365725340514347,3.2298570661499784,29
Central African Republic,CAF,50,Western,-1.1689964532852173,1.6540294409169256,6
Central African Republic,CAF,50,Local,0.11008653921239517,2.8271033672417802,17
Central African Republic,CAF,70,Chinese,1.0206084657799115,3.238554832732149,22
Central African Republic,CAF,70,Western,-0.7194244384765625,1.4388488769531251,5
Central African Republic,CAF,70,Local,0.27461203932762146,2.6935675109736876,12
Central African Republic,CAF,100,Chinese,2.076498404145241,1.4677231661400372,12
